vma,size,isa,evidence,name
0x080000C0,0x48,arm,prologue-scan,Start
0x08000108,0x108,arm,rom-pointer,MasterIsr
0x08000234,0x24,arm,prologue-scan,sub_08000234
0x08000258,0x30,arm,prologue-scan,sub_08000258
0x08000288,0x20,arm,prologue-scan,sub_08000288
0x080002A8,0x40,arm,prologue-scan,sub_080002a8
0x08000310,0x3F0,thumb,rom-pointer,AgbInit
0x08000700,0x1E8,thumb,rom-pointer,sub_08000700
0x080008E8,0x4C,thumb,bl-target,sub_080008e8
0x08000934,0x4B0,thumb,bl-target,sub_08000934
0x08000DE4,0x2E8,thumb,bl-target,sub_08000de4
0x080010CC,0xE0,thumb,rom-pointer,sub_080010cc
0x080011AC,0x30,thumb,bl-target,sub_080011ac
0x080011DC,0xA4,thumb,bl-target,sub_080011dc
0x08001280,0x178,thumb,bl-target,sub_08001280
0x080013F8,0x90,thumb,bl-target,sub_080013f8
0x08001488,0x60,thumb,bl-target,sub_08001488
0x080014E8,0x30,thumb,bl-target,sub_080014e8
0x08001518,0x4,thumb,rom-pointer,sub_08001518
0x0800151C,0x60,thumb,curated,sub_0800151c
0x0800157C,0x268,thumb,bl-target,sub_0800157c
0x080017E4,0x228,thumb,bl-target,sub_080017e4
0x08001A0C,0x28,thumb,bl-target,sub_08001a0c
0x08001A34,0x50,thumb,bl-target,sub_08001a34
0x08001A84,0x10,thumb,bl-target,sub_08001a84
0x08001A94,0x74,thumb,bl-target,sub_08001a94
0x08001B08,0x1C0,thumb,rom-pointer,sub_08001b08
0x08001CC8,0x308,thumb,bl-target,sub_08001cc8
0x08001FD0,0x58,thumb,bl-target,sub_08001fd0
0x08002028,0x90,thumb,bl-target,sub_08002028
0x080020B8,0x94,thumb,bl-target,sub_080020b8
0x0800214C,0x4C,thumb,bl-target,sub_0800214c
0x08002198,0x44,thumb,bl-target,sub_08002198
0x080021DC,0x8C,thumb,bl-target,sub_080021dc
0x08002268,0x38,thumb,bl-target+rom-pointer,sub_08002268
0x080022A0,0xC,thumb,bl-target,sub_080022a0
0x080022AC,0x10,thumb,bl-target,sub_080022ac
0x080022BC,0x14,thumb,bl-target,sub_080022bc
0x080022D0,0x14,thumb,bl-target,sub_080022d0
0x080022E4,0x18,thumb,bl-target,sub_080022e4
0x080022FC,0x3C,thumb,bl-target,sub_080022fc
0x08002338,0x10,thumb,bl-target,sub_08002338
0x08002348,0x30,thumb,bl-target,sub_08002348
0x08002378,0x2F0,thumb,bl-target,sub_08002378
0x08002668,0x2D4,thumb,bl-target,sub_08002668
0x0800293C,0x1C8,thumb,bl-target,sub_0800293c
0x08002B04,0x88,thumb,bl-target,sub_08002b04
0x08002B8C,0x18C,thumb,bl-target,sub_08002b8c
0x08002D18,0x3C,thumb,bl-target,sub_08002d18
0x08002D54,0x20,thumb,bl-target,sub_08002d54
0x08002D74,0x20,thumb,bl-target,sub_08002d74
0x08002D94,0x20,thumb,bl-target,sub_08002d94
0x08002DB4,0x2C,thumb,bl-target,sub_08002db4
0x08002DE0,0x2C,thumb,bl-target,sub_08002de0
0x08002E0C,0x2C,thumb,bl-target,sub_08002e0c
0x08002E38,0x60,thumb,bl-target,sub_08002e38
0x08002E98,0x14,thumb,bl-target,sub_08002e98
0x08002EAC,0x14,thumb,bl-target,sub_08002eac
0x08002EC0,0x28,thumb,bl-target,sub_08002ec0
0x08002EE8,0x2C,thumb,bl-target,sub_08002ee8
0x08002F14,0x100,thumb,bl-target,sub_08002f14
0x08003014,0xA4,thumb,bl-target,sub_08003014
0x080030B8,0x58,thumb,curated,sub_080030b8
0x08003110,0x74,thumb,bl-target,sub_08003110
0x08003184,0x10,thumb,bl-target,sub_08003184
0x08003194,0x24,thumb,bl-target,sub_08003194
0x080031B8,0x2CC,thumb,bl-target,sub_080031b8
0x08003484,0x1C,thumb,bl-target,sub_08003484
0x080034A0,0x18,thumb,curated,sub_080034a0
0x080034B8,0x18,thumb,curated,sub_080034b8
0x080034D0,0x20,thumb,bl-target,sub_080034d0
0x080034F0,0x74,thumb,bl-target,sub_080034f0
0x08003564,0x90,thumb,bl-target,sub_08003564
0x080035F4,0x94,thumb,bl-target,sub_080035f4
0x08003688,0x30,thumb,bl-target,sub_08003688
0x080036B8,0x94,thumb,curated,sub_080036b8
0x0800374C,0x24,thumb,bl-target,sub_0800374c
0x08003770,0x34,thumb,bl-target,sub_08003770
0x080037A4,0x54,thumb,curated,sub_080037a4
0x080037F8,0x24,thumb,bl-target,sub_080037f8
0x0800381C,0x24,thumb,bl-target,sub_0800381c
0x08003840,0x24,thumb,bl-target,sub_08003840
0x08003864,0x24,thumb,bl-target,sub_08003864
0x08003888,0xDC,thumb,bl-target,sub_08003888
0x08003964,0x9C,thumb,bl-target,sub_08003964
0x08003A00,0x34,thumb,bl-target,sub_08003a00
0x08003A34,0x64,thumb,bl-target,sub_08003a34
0x08003A98,0x20,thumb,bl-target,sub_08003a98
0x08003AB8,0x120,thumb,bl-target,sub_08003ab8
0x08003BD8,0x1EC,thumb,bl-target,sub_08003bd8
0x08003DC4,0x23C,thumb,bl-target,sub_08003dc4
0x08004000,0x68,thumb,bl-target,sub_08004000
0x08004068,0x2A0,thumb,rom-pointer,sub_08004068
0x08004308,0x88,thumb,bl-target,sub_08004308
0x08004390,0x70,thumb,bl-target,sub_08004390
0x08004400,0xB8,thumb,bl-target,sub_08004400
0x080044B8,0x130,thumb,bl-target,sub_080044b8
0x080045E8,0xB4,thumb,rom-pointer,sub_080045e8
0x0800469C,0x78,thumb,rom-pointer,sub_0800469c
0x08004714,0x20,thumb,bl-target,sub_08004714
0x08004734,0x234,thumb,bl-target,sub_08004734
0x08004968,0x1C,thumb,bl-target,sub_08004968
0x08004984,0x3E8,thumb,bl-target,sub_08004984
0x08004D6C,0x48,thumb,bl-target,sub_08004d6c
0x08004DB4,0x24,thumb,bl-target,sub_08004db4
0x08004DD8,0xC4,thumb,bl-target,sub_08004dd8
0x08004E9C,0x10,thumb,bl-target,sub_08004e9c
0x08004EAC,0xEC,thumb,bl-target,sub_08004eac
0x08004F98,0x18,thumb,bl-target,sub_08004f98
0x08004FB0,0x3C,thumb,bl-target,sub_08004fb0
0x08004FEC,0x23C,thumb,bl-target,sub_08004fec
0x08005228,0x388,thumb,bl-target,sub_08005228
0x080055B0,0x14,thumb,bl-target,sub_080055b0
0x080055C4,0x54,thumb,bl-target,sub_080055c4
0x08005618,0x3C,thumb,curated,sub_08005618
0x08005654,0x148,thumb,bl-target+rom-pointer,sub_08005654
0x0800579C,0x148,thumb,bl-target,sub_0800579c
0x080058E4,0x20,thumb,bl-target,sub_080058e4
0x08005904,0x50,thumb,bl-target,sub_08005904
0x08005954,0x4C,thumb,bl-target,sub_08005954
0x080059A0,0x38,thumb,bl-target,sub_080059a0
0x080059D8,0x24,thumb,rom-pointer,sub_080059d8
0x080059FC,0x94,thumb,rom-pointer,sub_080059fc
0x08005A90,0x3C,thumb,rom-pointer,sub_08005a90
0x08005ACC,0xF8,thumb,bl-target,sub_08005acc
0x08005BC4,0x88,thumb,bl-target,sub_08005bc4
0x08005C4C,0x54,thumb,bl-target,sub_08005c4c
0x08005CA0,0x78,thumb,rom-pointer,sub_08005ca0
0x08005D18,0x84,thumb,rom-pointer,sub_08005d18
0x08005D9C,0x10C,thumb,bl-target+rom-pointer,sub_08005d9c
0x08005EA8,0x88,thumb,rom-pointer,sub_08005ea8
0x08005F30,0x98,thumb,rom-pointer,sub_08005f30
0x08005FC8,0x78,thumb,rom-pointer,sub_08005fc8
0x08006040,0x80,thumb,rom-pointer,sub_08006040
0x080060C0,0x78,thumb,rom-pointer,sub_080060c0
0x08006138,0x10,thumb,bl-target,sub_08006138
0x08006148,0x34,thumb,bl-target,sub_08006148
0x0800617C,0x2C,thumb,bl-target,sub_0800617c
0x080061A8,0x18,thumb,bl-target,sub_080061a8
0x080061C0,0x54,thumb,bl-target,sub_080061c0
0x08006214,0x18,thumb,bl-target,sub_08006214
0x0800622C,0x18,thumb,bl-target,sub_0800622c
0x08006244,0x18,thumb,bl-target,sub_08006244
0x0800625C,0x68,thumb,bl-target,sub_0800625c
0x080062C4,0x1C,thumb,bl-target,sub_080062c4
0x080062E0,0x24,thumb,bl-target,sub_080062e0
0x08006304,0x34,thumb,bl-target,sub_08006304
0x08006338,0x14,thumb,bl-target,sub_08006338
0x0800634C,0x18,thumb,bl-target,sub_0800634c
0x08006364,0x20,thumb,bl-target,sub_08006364
0x08006384,0x28,thumb,bl-target,sub_08006384
0x080063AC,0xB8,thumb,bl-target,sub_080063ac
0x08006464,0x48,thumb,bl-target,sub_08006464
0x080064AC,0x30,thumb,bl-target,sub_080064ac
0x080064DC,0x50,thumb,bl-target,sub_080064dc
0x0800652C,0x110,thumb,bl-target,sub_0800652c
0x0800663C,0xE8,thumb,bl-target,sub_0800663c
0x08006724,0x144,thumb,bl-target,sub_08006724
0x08006868,0xAC,thumb,bl-target,sub_08006868
0x08006914,0x134,thumb,bl-target,sub_08006914
0x08006A48,0x28,thumb,bl-target,sub_08006a48
0x08006A70,0x58,thumb,bl-target,sub_08006a70
0x08006AC8,0xEC,thumb,bl-target,sub_08006ac8
0x08006BB4,0x120,thumb,bl-target,sub_08006bb4
0x08006CD4,0x44,thumb,bl-target,sub_08006cd4
0x08006D18,0x10,thumb,rom-pointer,sub_08006d18
0x08006D28,0x164,thumb,rom-pointer,sub_08006d28
0x08006E8C,0x10,thumb,bl-target,sub_08006e8c
0x08006E9C,0x21C,thumb,bl-target,sub_08006e9c
0x080070B8,0x4A,thumb,bl-target,sub_080070b8
0x08007102,0x22,thumb,rom-pointer,sub_08007102
0x08007124,0x50,thumb,bl-target,sub_08007124
0x08007174,0x68,thumb,bl-target,sub_08007174
0x080071DC,0x104,thumb,bl-target,sub_080071dc
0x080072E0,0x20,thumb,bl-target,sub_080072e0
0x08007300,0x2B8,thumb,rom-pointer,AgbMain
0x080075B8,0x6C,thumb,bl-target,sub_080075b8
0x08007624,0x218,thumb,bl-target,sub_08007624
0x0800783C,0xE0,thumb,bl-target,sub_0800783c
0x0800791C,0x24C,thumb,bl-target,sub_0800791c
0x08007B68,0xF4,thumb,bl-target,sub_08007b68
0x08007C5C,0xF0,thumb,bl-target,sub_08007c5c
0x08007D4C,0xB8,thumb,bl-target,sub_08007d4c
0x08007E04,0x198,thumb,bl-target,sub_08007e04
0x08007F9C,0x334,thumb,bl-target,sub_08007f9c
0x080082D0,0x78,thumb,bl-target,sub_080082d0
0x08008348,0x4C,thumb,rom-pointer,sub_08008348
0x08008394,0x1C,thumb,rom-pointer,sub_08008394
0x080083B0,0xB0,thumb,rom-pointer,sub_080083b0
0x08008460,0x7C,thumb,rom-pointer,sub_08008460
0x080084DC,0x7C,thumb,rom-pointer,sub_080084dc
0x08008558,0x10C,thumb,rom-pointer,sub_08008558
0x08008664,0x37C,thumb,bl-target,sub_08008664
0x080089E0,0x20,thumb,bl-target,sub_080089e0
0x08008A00,0x18C,thumb,bl-target,sub_08008a00
0x08008B8C,0xC0,thumb,bl-target,sub_08008b8c
0x08008C4C,0x18,thumb,bl-target,sub_08008c4c
0x08008C64,0x18,thumb,bl-target,sub_08008c64
0x08008C7C,0x3C,thumb,bl-target,sub_08008c7c
0x08008CB8,0x58,thumb,bl-target,sub_08008cb8
0x08008D10,0x88,thumb,bl-target,sub_08008d10
0x08008D98,0x84,thumb,bl-target,sub_08008d98
0x08008E1C,0x50,thumb,bl-target,sub_08008e1c
0x08008E6C,0x50,thumb,bl-target,sub_08008e6c
0x08008EBC,0x18,thumb,bl-target,sub_08008ebc
0x08008ED4,0x3C,thumb,bl-target,sub_08008ed4
0x08008F10,0xB4,thumb,bl-target,sub_08008f10
0x08008FC4,0x1E8,thumb,bl-target,sub_08008fc4
0x080091AC,0x3E,thumb,bl-target,sub_080091ac
0x080091EA,0x10,thumb,rom-pointer,sub_080091ea
0x080091FA,0x6,thumb,rom-pointer,sub_080091fa
0x08009200,0x198,thumb,bl-target,sub_08009200
0x08009398,0x64,thumb,bl-target,sub_08009398
0x080093FC,0x1C,thumb,rom-pointer,sub_080093fc
0x08009418,0x1A8,thumb,rom-pointer,sub_08009418
0x080095C0,0x24,thumb,rom-pointer,sub_080095c0
0x080095E4,0x5C,thumb,bl-target,sub_080095e4
0x08009640,0xA0,thumb,bl-target,sub_08009640
0x080096E0,0x5C,thumb,bl-target,sub_080096e0
0x0800973C,0x16C,thumb,bl-target,sub_0800973c
0x080098A8,0x120,thumb,bl-target,sub_080098a8
0x080099C8,0x18,thumb,bl-target,sub_080099c8
0x080099E0,0x1C,thumb,rom-pointer,sub_080099e0
0x080099FC,0xA4,thumb,rom-pointer,sub_080099fc
0x08009AA0,0x18,thumb,bl-target,sub_08009aa0
0x08009AB8,0x24,thumb,bl-target,sub_08009ab8
0x08009ADC,0x50,thumb,bl-target,sub_08009adc
0x08009B2C,0x184,thumb,bl-target,sub_08009b2c
0x08009CB0,0x164,thumb,bl-target,sub_08009cb0
0x08009E14,0xC,thumb,bl-target,sub_08009e14
0x08009E20,0xC,thumb,bl-target,sub_08009e20
0x08009E2C,0x34,thumb,bl-target,sub_08009e2c
0x08009E60,0x58,thumb,bl-target,sub_08009e60
0x08009EB8,0x30,thumb,bl-target,sub_08009eb8
0x08009EE8,0xE4,thumb,bl-target,sub_08009ee8
0x08009FCC,0x3C,thumb,bl-target,sub_08009fcc
0x0800A008,0x44,thumb,bl-target,sub_0800a008
0x0800A04C,0x60,thumb,bl-target,sub_0800a04c
0x0800A0AC,0x30,thumb,bl-target,sub_0800a0ac
0x0800A0DC,0x54,thumb,bl-target,sub_0800a0dc
0x0800A130,0xD2,thumb,bl-target,sub_0800a130
0x0800A202,0x1A,thumb,rom-pointer,sub_0800a202
0x0800A21C,0x64,thumb,bl-target,sub_0800a21c
0x0800A280,0x14,thumb,bl-target,sub_0800a280
0x0800A294,0x9E,thumb,bl-target,sub_0800a294
0x0800A332,0xE,thumb,rom-pointer,sub_0800a332
0x0800A340,0xEC,thumb,bl-target,sub_0800a340
0x0800A42C,0x94,thumb,bl-target,sub_0800a42c
0x0800A4C0,0x94,thumb,bl-target,sub_0800a4c0
0x0800A554,0x144,thumb,bl-target,sub_0800a554
0x0800A698,0xC,thumb,bl-target,sub_0800a698
0x0800A6A4,0xD4,thumb,bl-target,sub_0800a6a4
0x0800A778,0xDC,thumb,bl-target,sub_0800a778
0x0800A854,0x14C,thumb,bl-target,sub_0800a854
0x0800A9A0,0x78,thumb,bl-target,sub_0800a9a0
0x0800AA18,0x5C,thumb,bl-target,sub_0800aa18
0x0800AA74,0x20,thumb,bl-target,sub_0800aa74
0x0800AA94,0x18,thumb,bl-target,sub_0800aa94
0x0800AAAC,0x5C,thumb,bl-target,sub_0800aaac
0x0800AB08,0x34,thumb,bl-target,sub_0800ab08
0x0800AB3C,0x28,thumb,bl-target,sub_0800ab3c
0x0800AB64,0x5C,thumb,bl-target,sub_0800ab64
0x0800ABC0,0x78,thumb,bl-target,sub_0800abc0
0x0800AC38,0x84,thumb,bl-target,sub_0800ac38
0x0800ACBC,0xAC,thumb,bl-target,sub_0800acbc
0x0800AD68,0x1D8,thumb,bl-target,sub_0800ad68
0x0800AF40,0x164,thumb,bl-target,sub_0800af40
0x0800B0A4,0x58,thumb,bl-target,sub_0800b0a4
0x0800B0FC,0x34,thumb,bl-target,sub_0800b0fc
0x0800B130,0x60,thumb,bl-target,sub_0800b130
0x0800B190,0xA0,thumb,bl-target,sub_0800b190
0x0800B230,0xE8,thumb,bl-target,sub_0800b230
0x0800B318,0x34,thumb,bl-target,sub_0800b318
0x0800B34C,0x30,thumb,bl-target,sub_0800b34c
0x0800B37C,0x2C,thumb,bl-target,sub_0800b37c
0x0800B3A8,0x50,thumb,bl-target,sub_0800b3a8
0x0800B3F8,0x30,thumb,bl-target,sub_0800b3f8
0x0800B428,0x24,thumb,bl-target,sub_0800b428
0x0800B44C,0x5C,thumb,bl-target,sub_0800b44c
0x0800B4A8,0x6C,thumb,bl-target,sub_0800b4a8
0x0800B514,0xC8,thumb,bl-target,sub_0800b514
0x0800B5DC,0x4C,thumb,bl-target,sub_0800b5dc
0x0800B628,0x20,thumb,bl-target,sub_0800b628
0x0800B648,0x140,thumb,bl-target,sub_0800b648
0x0800B788,0xF4,thumb,bl-target,sub_0800b788
0x0800B87C,0xA4,thumb,bl-target,sub_0800b87c
0x0800B920,0x3D0,thumb,bl-target,sub_0800b920
0x0800BCF0,0xB4,thumb,bl-target,sub_0800bcf0
0x0800BDA4,0xE8,thumb,bl-target,sub_0800bda4
0x0800BE8C,0x76,thumb,bl-target,sub_0800be8c
0x0800BF02,0xE,thumb,rom-pointer,sub_0800bf02
0x0800BF10,0x5C,thumb,bl-target,sub_0800bf10
0x0800BF6C,0x130,thumb,bl-target,sub_0800bf6c
0x0800C09C,0x170,thumb,bl-target,sub_0800c09c
0x0800C20C,0x140,thumb,bl-target,sub_0800c20c
0x0800C34C,0x20C,thumb,bl-target,sub_0800c34c
0x0800C558,0xB8,thumb,bl-target,sub_0800c558
